stamp_sec,topic,type,value
1773928752.776689,/metrics/pcl/back/detections_count,std_msgs/msg/Int32,33
1773928752.776938,/metrics/pcl/back/points_in,std_msgs/msg/Int32,22152
1773928752.777077,/metrics/pcl/back/processing_ms,std_msgs/msg/Float32,173.87730407714844
1773928752.9488804,/metrics/pcl/back/detections_count,std_msgs/msg/Int32,33
1773928752.949092,/metrics/pcl/back/points_in,std_msgs/msg/Int32,22152
1773928752.949266,/metrics/pcl/back/processing_ms,std_msgs/msg/Float32,170.8669891357422
1773928753.1210155,/metrics/pcl/back/detections_count,std_msgs/msg/Int32,34
1773928753.1212375,/metrics/pcl/back/points_in,std_msgs/msg/Int32,22152
1773928753.1213772,/metrics/pcl/back/processing_ms,std_msgs/msg/Float32,171.2681427001953
1773928753.2907233,/metrics/pcl/back/detections_count,std_msgs/msg/Int32,33
1773928753.2910047,/metrics/pcl/back/points_in,std_msgs/msg/Int32,22152
1773928753.291132,/metrics/pcl/back/processing_ms,std_msgs/msg/Float32,169.08578491210938
1773928753.4620337,/metrics/pcl/back/detections_count,std_msgs/msg/Int32,33
1773928753.4622684,/metrics/pcl/back/points_in,std_msgs/msg/Int32,22152
1773928753.462453,/metrics/pcl/back/processing_ms,std_msgs/msg/Float32,170.47308349609375
1773928753.6317902,/metrics/pcl/back/detections_count,std_msgs/msg/Int32,30
1773928753.6320245,/metrics/pcl/back/points_in,std_msgs/msg/Int32,22152
1773928753.6321206,/metrics/pcl/back/processing_ms,std_msgs/msg/Float32,169.1475372314453
1773928753.8008344,/metrics/pcl/back/detections_count,std_msgs/msg/Int32,31
1773928753.8010345,/metrics/pcl/back/points_in,std_msgs/msg/Int32,22152
1773928753.8011358,/metrics/pcl/back/processing_ms,std_msgs/msg/Float32,168.3467254638672
1773928753.968048,/metrics/pcl/back/detections_count,std_msgs/msg/Int32,28
1773928753.9682016,/metrics/pcl/back/points_in,std_msgs/msg/Int32,22152
1773928753.9683223,/metrics/pcl/back/processing_ms,std_msgs/msg/Float32,166.51019287109375
1773928754.1421206,/metrics/pcl/back/detections_count,std_msgs/msg/Int32,31
1773928754.142339,/metrics/pcl/back/points_in,std_msgs/msg/Int32,22152
1773928754.1424592,/metrics/pcl/back/processing_ms,std_msgs/msg/Float32,173.35047912597656
1773928754.2844098,/metrics/pcl/right/detections_count,std_msgs/msg/Int32,32
1773928754.2845938,/metrics/pcl/right/points_in,std_msgs/msg/Int32,22152
1773928754.2847457,/metrics/pcl/right/processing_ms,std_msgs/msg/Float32,182.0166778564453
1773928754.314209,/metrics/pcl/back/detections_count,std_msgs/msg/Int32,36
1773928754.3143818,/metrics/pcl/back/points_in,std_msgs/msg/Int32,22152
1773928754.3144891,/metrics/pcl/back/processing_ms,std_msgs/msg/Float32,171.47958374023438
1773928754.4638448,/metrics/pcl/right/detections_count,std_msgs/msg/Int32,32
1773928754.4640625,/metrics/pcl/right/points_in,std_msgs/msg/Int32,22152
1773928754.4642208,/metrics/pcl/right/processing_ms,std_msgs/msg/Float32,177.93063354492188
1773928754.4825993,/metrics/pcl/back/detections_count,std_msgs/msg/Int32,31
1773928754.4828832,/metrics/pcl/back/points_in,std_msgs/msg/Int32,22152
1773928754.4830425,/metrics/pcl/back/processing_ms,std_msgs/msg/Float32,167.8286590576172
1773928754.6406045,/metrics/pcl/right/detections_count,std_msgs/msg/Int32,31
1773928754.64082,/metrics/pcl/right/points_in,std_msgs/msg/Int32,22152
1773928754.640948,/metrics/pcl/right/processing_ms,std_msgs/msg/Float32,176.06106567382812
1773928754.6525514,/metrics/pcl/back/detections_count,std_msgs/msg/Int32,35
1773928754.6527805,/metrics/pcl/back/points_in,std_msgs/msg/Int32,22152
1773928754.6529236,/metrics/pcl/back/processing_ms,std_msgs/msg/Float32,169.1399688720703
1773928754.8317337,/metrics/pcl/back/detections_count,std_msgs/msg/Int32,29
1773928754.831936,/metrics/pcl/back/points_in,std_msgs/msg/Int32,22152
1773928754.8320699,/metrics/pcl/back/processing_ms,std_msgs/msg/Float32,178.59405517578125
1773928754.8327637,/metrics/pcl/left/detections_count,std_msgs/msg/Int32,21
1773928754.8329022,/metrics/pcl/left/points_in,std_msgs/msg/Int32,22152
1773928754.8330216,/metrics/pcl/left/processing_ms,std_msgs/msg/Float32,210.80735778808594
1773928754.8372238,/metrics/pcl/right/detections_count,std_msgs/msg/Int32,27
1773928754.8373992,/metrics/pcl/right/points_in,std_msgs/msg/Int32,22152
1773928754.8375294,/metrics/pcl/right/processing_ms,std_msgs/msg/Float32,196.09457397460938
1773928755.0030468,/metrics/pcl/back/detections_count,std_msgs/msg/Int32,34
1773928755.003238,/metrics/pcl/back/points_in,std_msgs/msg/Int32,22152
1773928755.0033655,/metrics/pcl/back/processing_ms,std_msgs/msg/Float32,170.6664581298828
1773928755.029723,/metrics/pcl/right/detections_count,std_msgs/msg/Int32,31
1773928755.0299108,/metrics/pcl/right/points_in,std_msgs/msg/Int32,22152
1773928755.0300415,/metrics/pcl/right/processing_ms,std_msgs/msg/Float32,191.3070526123047
1773928755.0368185,/metrics/pcl/left/detections_count,std_msgs/msg/Int32,23
1773928755.037006,/metrics/pcl/left/points_in,std_msgs/msg/Int32,22152
1773928755.0371325,/metrics/pcl/left/processing_ms,std_msgs/msg/Float32,202.79205322265625
1773928755.1796288,/metrics/pcl/back/detections_count,std_msgs/msg/Int32,31
1773928755.1798449,/metrics/pcl/back/points_in,std_msgs/msg/Int32,22152
1773928755.179996,/metrics/pcl/back/processing_ms,std_msgs/msg/Float32,175.60165405273438
1773928755.216962,/metrics/pcl/right/detections_count,std_msgs/msg/Int32,26
1773928755.217168,/metrics/pcl/right/points_in,std_msgs/msg/Int32,22152
1773928755.2173092,/metrics/pcl/right/processing_ms,std_msgs/msg/Float32,186.31259155273438
1773928755.23855,/metrics/pcl/left/detections_count,std_msgs/msg/Int32,20
1773928755.2387488,/metrics/pcl/left/points_in,std_msgs/msg/Int32,22152
1773928755.2388766,/metrics/pcl/left/processing_ms,std_msgs/msg/Float32,200.9619598388672
1773928755.3610215,/metrics/pcl/back/detections_count,std_msgs/msg/Int32,30
1773928755.361205,/metrics/pcl/back/points_in,std_msgs/msg/Int32,22152
1773928755.36135,/metrics/pcl/back/processing_ms,std_msgs/msg/Float32,180.52685546875
1773928755.4017947,/metrics/pcl/right/detections_count,std_msgs/msg/Int32,30
1773928755.4020102,/metrics/pcl/right/points_in,std_msgs/msg/Int32,22152
1773928755.4021506,/metrics/pcl/right/processing_ms,std_msgs/msg/Float32,184.0237274169922
1773928755.4450471,/metrics/pcl/left/detections_count,std_msgs/msg/Int32,22
1773928755.4452512,/metrics/pcl/left/points_in,std_msgs/msg/Int32,22152
1773928755.4453847,/metrics/pcl/left/processing_ms,std_msgs/msg/Float32,205.59310913085938
1773928755.5370626,/metrics/pcl/back/detections_count,std_msgs/msg/Int32,35
1773928755.5372717,/metrics/pcl/back/points_in,std_msgs/msg/Int32,22152
1773928755.5374074,/metrics/pcl/back/processing_ms,std_msgs/msg/Float32,175.19125366210938
1773928755.5807447,/metrics/pcl/right/detections_count,std_msgs/msg/Int32,32
1773928755.5809648,/metrics/pcl/right/points_in,std_msgs/msg/Int32,22152
1773928755.5811107,/metrics/pcl/right/processing_ms,std_msgs/msg/Float32,178.15269470214844
1773928755.6415215,/metrics/pcl/left/detections_count,std_msgs/msg/Int32,23
1773928755.6417637,/metrics/pcl/left/points_in,std_msgs/msg/Int32,22152
1773928755.641911,/metrics/pcl/left/processing_ms,std_msgs/msg/Float32,195.82301330566406
1773928755.708215,/metrics/pcl/back/detections_count,std_msgs/msg/Int32,31
1773928755.7084196,/metrics/pcl/back/points_in,std_msgs/msg/Int32,22152
1773928755.708556,/metrics/pcl/back/processing_ms,std_msgs/msg/Float32,170.4903106689453
1773928755.7630944,/metrics/pcl/right/detections_count,std_msgs/msg/Int32,31
1773928755.7633028,/metrics/pcl/right/points_in,std_msgs/msg/Int32,22152
1773928755.7634437,/metrics/pcl/right/processing_ms,std_msgs/msg/Float32,181.72174072265625
1773928755.8521802,/metrics/pcl/left/detections_count,std_msgs/msg/Int32,26
1773928755.8523705,/metrics/pcl/left/points_in,std_msgs/msg/Int32,22152
1773928755.8524907,/metrics/pcl/left/processing_ms,std_msgs/msg/Float32,209.94525146484375
1773928755.8828807,/metrics/pcl/back/detections_count,std_msgs/msg/Int32,30
1773928755.88308,/metrics/pcl/back/points_in,std_msgs/msg/Int32,22152
1773928755.8832095,/metrics/pcl/back/processing_ms,std_msgs/msg/Float32,173.9232940673828
1773928755.9480855,/metrics/pcl/right/detections_count,std_msgs/msg/Int32,31
1773928755.9483542,/metrics/pcl/right/points_in,std_msgs/msg/Int32,22152
1773928755.9484928,/metrics/pcl/right/processing_ms,std_msgs/msg/Float32,183.9834442138672
1773928756.069055,/metrics/pcl/back/detections_count,std_msgs/msg/Int32,30
1773928756.069289,/metrics/pcl/back/points_in,std_msgs/msg/Int32,22152
1773928756.0694375,/metrics/pcl/back/processing_ms,std_msgs/msg/Float32,183.9578857421875
1773928756.0695586,/metrics/pcl/left/detections_count,std_msgs/msg/Int32,23
1773928756.069684,/metrics/pcl/left/points_in,std_msgs/msg/Int32,22152
1773928756.0698013,/metrics/pcl/left/processing_ms,std_msgs/msg/Float32,214.46994018554688
1773928756.147528,/metrics/pcl/right/detections_count,std_msgs/msg/Int32,32
1773928756.1477504,/metrics/pcl/right/points_in,std_msgs/msg/Int32,22152
1773928756.1478953,/metrics/pcl/right/processing_ms,std_msgs/msg/Float32,198.65260314941406
1773928756.269547,/metrics/pcl/back/detections_count,std_msgs/msg/Int32,31
1773928756.2697911,/metrics/pcl/back/points_in,std_msgs/msg/Int32,22152
1773928756.26995,/metrics/pcl/back/processing_ms,std_msgs/msg/Float32,201.097412109375
1773928756.3131707,/metrics/pcl/left/detections_count,std_msgs/msg/Int32,24
1773928756.313417,/metrics/pcl/left/points_in,std_msgs/msg/Int32,22152
1773928756.3135793,/metrics/pcl/left/processing_ms,std_msgs/msg/Float32,244.50173950195312
1773928756.3498428,/metrics/pcl/right/detections_count,std_msgs/msg/Int32,33
1773928756.3500395,/metrics/pcl/right/points_in,std_msgs/msg/Int32,22152
1773928756.3501613,/metrics/pcl/right/processing_ms,std_msgs/msg/Float32,201.63174438476562
1773928756.4502413,/metrics/pcl/back/detections_count,std_msgs/msg/Int32,31
1773928756.4504836,/metrics/pcl/back/points_in,std_msgs/msg/Int32,22152
