stamp_sec,topic,type,value
1774016900.718216,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,28
1774016900.7184618,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22152
1774016900.7185936,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,195.27171325683594
1774016900.7334523,/metrics/pcl/right/detections_count,std_msgs/msg/Int32,33
1774016900.7336447,/metrics/pcl/right/points_in,std_msgs/msg/Int32,22152
1774016900.7338145,/metrics/pcl/right/processing_ms,std_msgs/msg/Float32,178.16018676757812
1774016900.9140694,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,31
1774016900.9142618,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22152
1774016900.9143784,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,194.4567413330078
1774016900.9149873,/metrics/pcl/right/detections_count,std_msgs/msg/Int32,30
1774016900.9151156,/metrics/pcl/right/points_in,std_msgs/msg/Int32,22152
1774016900.9153223,/metrics/pcl/right/processing_ms,std_msgs/msg/Float32,179.8177490234375
1774016901.0969377,/metrics/pcl/right/detections_count,std_msgs/msg/Int32,31
1774016901.0971496,/metrics/pcl/right/points_in,std_msgs/msg/Int32,22152
1774016901.097302,/metrics/pcl/right/processing_ms,std_msgs/msg/Float32,181.36720275878906
1774016901.1074562,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,27
1774016901.1077063,/metrics/pcl/front/points_in,std_msgs/msg/Int32,22152
1774016901.1078517,/metrics/pcl/front/processing_ms,std_msgs/msg/Float32,192.12957763671875
1774016901.2644289,/metrics/pcl/left/detections_count,std_msgs/msg/Int32,29
1774016901.2645845,/metrics/pcl/left/points_in,std_msgs/msg/Int32,22152
1774016901.2646782,/metrics/pcl/left/processing_ms,std_msgs/msg/Float32,228.4856414794922
1774016901.2781866,/metrics/pcl/right/detections_count,std_msgs/msg/Int32,37
1774016901.278435,/metrics/pcl/right/points_in,std_msgs/msg/Int32,22152
1774016901.2786546,/metrics/pcl/right/processing_ms,std_msgs/msg/Float32,180.509033203125
1774016901.2962418,/metrics/pcl/front/detections_count,std_msgs/msg/Int32,29
