stamp_sec,topic,type,value
1774017127.4334383,/metrics/dbscan/fused/detections_count,std_msgs/msg/Int32,20
1774017127.4336958,/metrics/dbscan/fused/points_in,std_msgs/msg/Int32,6103
1774017127.4339275,/metrics/dbscan/fused/processing_ms,std_msgs/msg/Float32,138.26483154296875
1774017127.705212,/metrics/dbscan/fused/detections_count,std_msgs/msg/Int32,18
1774017127.705464,/metrics/dbscan/fused/points_in,std_msgs/msg/Int32,6165
1774017127.7055733,/metrics/dbscan/fused/processing_ms,std_msgs/msg/Float32,184.59930419921875
1774017127.8716679,/metrics/dbscan/fused/detections_count,std_msgs/msg/Int32,20
1774017127.8719501,/metrics/dbscan/fused/points_in,std_msgs/msg/Int32,6128
1774017127.8720734,/metrics/dbscan/fused/processing_ms,std_msgs/msg/Float32,123.64413452148438
1774017128.103509,/metrics/dbscan/fused/detections_count,std_msgs/msg/Int32,21
1774017128.1037626,/metrics/dbscan/fused/points_in,std_msgs/msg/Int32,6082
1774017128.1039848,/metrics/dbscan/fused/processing_ms,std_msgs/msg/Float32,128.4779052734375
1774017128.3309405,/metrics/dbscan/fused/detections_count,std_msgs/msg/Int32,20
1774017128.331149,/metrics/dbscan/fused/points_in,std_msgs/msg/Int32,6162
1774017128.331265,/metrics/dbscan/fused/processing_ms,std_msgs/msg/Float32,121.80014038085938
1774017128.5634816,/metrics/dbscan/fused/detections_count,std_msgs/msg/Int32,20
1774017128.5636847,/metrics/dbscan/fused/points_in,std_msgs/msg/Int32,6151
1774017128.5638247,/metrics/dbscan/fused/processing_ms,std_msgs/msg/Float32,126.27693176269531
1774017128.9720607,/metrics/dbscan/fused/detections_count,std_msgs/msg/Int32,25
1774017128.9722433,/metrics/dbscan/fused/points_in,std_msgs/msg/Int32,8811
1774017128.9723392,/metrics/dbscan/fused/processing_ms,std_msgs/msg/Float32,190.7801513671875
1774017129.3291948,/metrics/dbscan/fused/detections_count,std_msgs/msg/Int32,26
1774017129.3293831,/metrics/dbscan/fused/points_in,std_msgs/msg/Int32,8670
1774017129.3295019,/metrics/dbscan/fused/processing_ms,std_msgs/msg/Float32,194.0215606689453
1774017129.6809666,/metrics/dbscan/fused/detections_count,std_msgs/msg/Int32,25
1774017129.6811488,/metrics/dbscan/fused/points_in,std_msgs/msg/Int32,8638
1774017129.6812441,/metrics/dbscan/fused/processing_ms,std_msgs/msg/Float32,187.2940216064453
1774017130.0835094,/metrics/dbscan/fused/detections_count,std_msgs/msg/Int32,24
1774017130.0836966,/metrics/dbscan/fused/points_in,std_msgs/msg/Int32,8674
1774017130.0839143,/metrics/dbscan/fused/processing_ms,std_msgs/msg/Float32,219.3819580078125
1774017130.4308314,/metrics/dbscan/fused/detections_count,std_msgs/msg/Int32,24
1774017130.4310093,/metrics/dbscan/fused/points_in,std_msgs/msg/Int32,8613
1774017130.4311035,/metrics/dbscan/fused/processing_ms,std_msgs/msg/Float32,185.7379608154297
1774017130.8032668,/metrics/dbscan/fused/detections_count,std_msgs/msg/Int32,24
1774017130.803464,/metrics/dbscan/fused/points_in,std_msgs/msg/Int32,8610
1774017130.8035798,/metrics/dbscan/fused/processing_ms,std_msgs/msg/Float32,195.64271545410156
1774017131.8059406,/metrics/dbscan/fused/detections_count,std_msgs/msg/Int32,33
1774017131.8062518,/metrics/dbscan/fused/points_in,std_msgs/msg/Int32,12412
1774017131.806398,/metrics/dbscan/fused/processing_ms,std_msgs/msg/Float32,275.3609924316406
1774017132.2681594,/metrics/dbscan/fused/detections_count,std_msgs/msg/Int32,30
1774017132.2683651,/metrics/dbscan/fused/points_in,std_msgs/msg/Int32,12419
1774017132.2684813,/metrics/dbscan/fused/processing_ms,std_msgs/msg/Float32,264.2333068847656
1774017133.2161252,/metrics/dbscan/fused/detections_count,std_msgs/msg/Int32,33
1774017133.216299,/metrics/dbscan/fused/points_in,std_msgs/msg/Int32,12293
1774017133.2164345,/metrics/dbscan/fused/processing_ms,std_msgs/msg/Float32,269.65283203125
1774017134.0012422,/metrics/dbscan/fused/detections_count,std_msgs/msg/Int32,33
1774017134.0013564,/metrics/dbscan/fused/points_in,std_msgs/msg/Int32,12437
1774017134.001426,/metrics/dbscan/fused/processing_ms,std_msgs/msg/Float32,184.71571350097656
1774017134.5599816,/metrics/dbscan/fused/detections_count,std_msgs/msg/Int32,33
1774017134.5601227,/metrics/dbscan/fused/points_in,std_msgs/msg/Int32,12230
1774017134.5601807,/metrics/dbscan/fused/processing_ms,std_msgs/msg/Float32,146.06520080566406
1774017135.577905,/metrics/dbscan/fused/detections_count,std_msgs/msg/Int32,34
1774017135.5780296,/metrics/dbscan/fused/points_in,std_msgs/msg/Int32,12462
1774017135.5780938,/metrics/dbscan/fused/processing_ms,std_msgs/msg/Float32,153.90594482421875
1774017136.8299794,/metrics/dbscan/fused/detections_count,std_msgs/msg/Int32,34
