stamp_sec,topic,type,value
1774017348.416962,/metrics/dbscan/front/detections_count,std_msgs/msg/Int32,14
1774017348.417311,/metrics/dbscan/front/points_in,std_msgs/msg/Int32,6415
1774017348.4175258,/metrics/dbscan/front/processing_ms,std_msgs/msg/Float32,127.58525848388672
1774017348.5345314,/metrics/dbscan/front/detections_count,std_msgs/msg/Int32,13
1774017348.5347564,/metrics/dbscan/front/points_in,std_msgs/msg/Int32,6435
1774017348.5348678,/metrics/dbscan/front/processing_ms,std_msgs/msg/Float32,115.7785415649414
1774017348.7065282,/metrics/dbscan/front/detections_count,std_msgs/msg/Int32,13
1774017348.7068942,/metrics/dbscan/front/points_in,std_msgs/msg/Int32,6400
1774017348.71139,/metrics/dbscan/front/processing_ms,std_msgs/msg/Float32,170.10830688476562
1774017348.828576,/metrics/dbscan/front/detections_count,std_msgs/msg/Int32,13
1774017348.8287284,/metrics/dbscan/front/points_in,std_msgs/msg/Int32,6378
1774017348.8288329,/metrics/dbscan/front/processing_ms,std_msgs/msg/Float32,120.42949676513672
1774017348.9437559,/metrics/dbscan/front/detections_count,std_msgs/msg/Int32,13
1774017348.944017,/metrics/dbscan/front/points_in,std_msgs/msg/Int32,6296
1774017348.9441316,/metrics/dbscan/front/processing_ms,std_msgs/msg/Float32,113.5304946899414
1774017349.0552514,/metrics/dbscan/front/detections_count,std_msgs/msg/Int32,11
1774017349.0554554,/metrics/dbscan/front/points_in,std_msgs/msg/Int32,6187
1774017349.0555847,/metrics/dbscan/front/processing_ms,std_msgs/msg/Float32,109.9632339477539
1774017349.104693,/metrics/dbscan/right/detections_count,std_msgs/msg/Int32,9
1774017349.1049676,/metrics/dbscan/right/points_in,std_msgs/msg/Int32,6713
1774017349.105117,/metrics/dbscan/right/processing_ms,std_msgs/msg/Float32,140.39852905273438
1774017349.166921,/metrics/dbscan/front/detections_count,std_msgs/msg/Int32,13
1774017349.1671467,/metrics/dbscan/front/points_in,std_msgs/msg/Int32,6163
1774017349.1672835,/metrics/dbscan/front/processing_ms,std_msgs/msg/Float32,110.10151672363281
1774017349.2322958,/metrics/dbscan/right/detections_count,std_msgs/msg/Int32,8
1774017349.2325687,/metrics/dbscan/right/points_in,std_msgs/msg/Int32,6662
1774017349.2327576,/metrics/dbscan/right/processing_ms,std_msgs/msg/Float32,126.11360931396484
1774017349.2810483,/metrics/dbscan/front/detections_count,std_msgs/msg/Int32,12
1774017349.2812161,/metrics/dbscan/front/points_in,std_msgs/msg/Int32,6106
1774017349.281369,/metrics/dbscan/front/processing_ms,std_msgs/msg/Float32,112.29216766357422
1774017349.4015164,/metrics/dbscan/front/detections_count,std_msgs/msg/Int32,15
1774017349.4017072,/metrics/dbscan/front/points_in,std_msgs/msg/Int32,6110
1774017349.4018354,/metrics/dbscan/front/processing_ms,std_msgs/msg/Float32,118.91985321044922
1774017349.4129987,/metrics/dbscan/right/detections_count,std_msgs/msg/Int32,9
1774017349.4132328,/metrics/dbscan/right/points_in,std_msgs/msg/Int32,6677
1774017349.4133668,/metrics/dbscan/right/processing_ms,std_msgs/msg/Float32,179.17434692382812
1774017349.518577,/metrics/dbscan/front/detections_count,std_msgs/msg/Int32,12
1774017349.5188062,/metrics/dbscan/front/points_in,std_msgs/msg/Int32,6142
1774017349.5189726,/metrics/dbscan/front/processing_ms,std_msgs/msg/Float32,115.36567687988281
1774017349.5415194,/metrics/dbscan/right/detections_count,std_msgs/msg/Int32,9
